Global CO2 emissions from fossil fuel use and cement production 1970-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions,"2016 update with 2015 emissions of fossil fuel use and industrial processs emissions (cement production, carbonate use of limestone and dolomite, non-energy use of fuels and other combustion, chemical and metal processes, solvents, agricultural liming and urea, waste and fossil fuel fires). Excluded are: short-cycle biomass burning (such as agricultural waste burning), large-scale biomass burning (such as forest fires) and carbon emissions/removals of land-use, land-use change and forestry (LULUCF).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substance:,"CO2 country totals excluding short-cycle biomass burning (such as agricultural waste burning) and excluding large-scale biomass burning (forest fires, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,kton (Gg) CO2 per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,14/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,"EDGARv4.3.2, European Commission, Joint Research Centre (JRC)/PBL Netherlands Environmental Assessment Agency. Emission Database for Global Atmospheric Research (EDGAR), release version 4.3.2. http://edgar.jrc.ec.europe.eu, 2016 forthcoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The EDGARv4.3.2FT2015 emissions are calculated based on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,104344,104009,113740,132329,142779,150498,167652,173943,186877,199598,198713,184189,183877,175211,177625,187204,208358,213010,216309,218962,220388,226529,230700,239324,246930,265566,287105,305150,313898,323098,338016,340733,340604,335671,353852,356067,363134,379565,399717,373531,423798,442313,457077,485620,505395,486229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,95692,88092,88598,90516,83397,84957,91915,88223,83032,86012,78692,71194,65101,59363,58965,62815,64419,62478,60575,57950,57536,58059,60589,60464,63049,62968,68453,62049,63644,62622,58806,59250,60078,59884,58298,55370,56722,53388,51364,47063,53223,47738,46101,44463,43671,42496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic People s Republic of Korea,91940,92305,95877,98349,102333,106939,111458,117388,106215,113787,120362,123502,129098,133842,137280,142522,140062,135050,138406,140014,134062,129442,112957,104383,95191,88804,78277,75896,62732,68291,73468,76296,73086,74619,76169,79400,80841,67595,74584,72771,68836,56646,56973,58004,61344,62995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,87265,87609,88644,93260,93668,91708,96549,99392,101398,106576,103950,101818,99825,101930,99017,94064,108034,112574,117285,115146,109018,112442,116567,116091,123688,123773,136095,140034,143828,147147,144506,134821,127379,137630,154290,158857,169468,176467,189628,181170,187466,192018,191557,188068,189189,191199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),74993,80125,89378,106544,113618,116375,134323,141650,138524,130837,112477,111924,136051,154743,154024,164358,153395,162368,163973,175466,202185,223110,238711,238073,271480,276146,288234,301339,300790,331680,349927,364533,380495,402420,431867,465995,500311,534178,544451,565166,568920,578502,591310,600055,625021,633750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,70085,70010,72267,73597,74986,79821,80756,83646,86615,89872,93097,88924,90883,89744,88184,90971,92247,92153,91010,89967,81398,62312,59866,61552,59136,59562,60795,56902,53162,47836,47533,49510,46861,52892,50975,52068,53143,57078,53940,45887,48473,53631,53305,47707,50799,53432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,66212,67996,69988,75038,77202,78364,82144,85987,93373,92014,91580,90622,90311,86542,87773,86992,85294,86519,81584,79824,71519,67994,61167,62201,62158,61592,62925,62093,61464,61820,58377,59661,58819,61478,59278,59607,59834,58243,57168,50900,51804,50044,49084,46350,45866,48186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,64929,65082,69891,75731,79578,88252,89498,93237,95125,99623,101055,104941,104440,104816,103540,103336,103801,103387,102213,98457,107685,103869,93725,81056,69158,61885,62737,63129,61441,59262,57479,56190,56318,56933,62103,63085,67605,64248,67238,64890,69641,65534,66478,66654,68016,64800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,62050,57849,59858,59117,52817,54872,60632,62333,62408,65882,65205,54923,57313,53834,55488,63208,63893,61963,58039,52368,53019,63601,57884,60180,64158,60900,74262,64426,60459,57434,53297,54895,54460,59915,54347,50856,58761,53985,50730,48492,48216,43081,41748,43645,40238,36908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,61259,61865,63794,78853,83010,90073,101267,115129,121638,138701,140056,146912,146444,159474,179807,188327,196130,201939,228162,239791,269644,294936,313672,343878,370251,402232,428268,451087,386201,422234,480363,494292,495866,499931,520160,524030,530686,535783,546589,556099,600870,617612,614771,611531,611741,617285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),60087,58897,59979,68723,68149,65049,69396,72162,76988,87621,95490,96353,97510,96396,98110,98552,99393,98844,100229,106333,110643,109656,112527,119177,120011,129763,137119,142821,148514,133084,141321,146916,141451,136098,143195,162237,165856,150156,184624,184084,197246,176173,196460,185748,183400,178568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,54354,56492,58731,61894,59518,57167,62183,59455,61421,63945,61917,58290,56077,56294,58219,59585,58356,58892,57754,57766,62092,65821,60741,60776,61358,64324,68293,68063,68766,66621,67058,71754,73549,78802,79976,81125,78632,76434,77140,69551,75992,75495,74638,74540,71626,74244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,49440,49403,50266,51286,51869,53308,54123,56647,57868,58900,62174,60735,58844,58562,60770,60508,57715,59657,60583,60234,60593,52519,49132,47914,45608,46010,46539,46186,44996,44591,42460,42759,42492,42712,42502,42789,42793,41605,42008,37772,40088,37900,37833,38212,35415,36254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,48544,48843,51655,54639,58083,64659,65754,68482,70961,73494,78639,82301,85701,88517,91555,95899,99695,103316,106198,107738,121960,125426,117495,117647,112746,100636,101942,103852,118378,119648,119991,121772,127240,122216,119585,114968,118897,119417,119137,107737,106254,114548,115947,104189,107752,109845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,45470,49747,57632,62820,65714,71329,78682,88086,84242,77917,81291,81550,88444,93392,98801,107427,116624,128529,125449,137935,153651,154751,158354,164724,164514,179037,194443,205354,208497,206089,229437,208243,218754,230642,237949,248620,275440,300130,303359,297693,307985,328282,339238,324736,352593,357157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,44085,42988,46982,51612,48081,47531,53584,53129,57705,57490,58028,48617,46877,45287,46640,51076,51176,56689,54575,54627,56626,57345,54617,55913,64379,62029,67796,65628,61769,61060,60227,65838,68183,76532,72748,60249,72096,69527,61352,58903,67310,59517,57948,58477,53728,48505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,42960,52735,68553,92959,97916,81040,100494,109213,118479,142361,177068,166926,172089,172386,131334,133687,133539,144883,156958,158142,167679,173050,186671,196294,211921,215454,227791,231251,242626,247671,260397,271677,283958,297859,292406,306089,321190,338145,363299,390882,420058,438213,455673,459502,486767,505565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,41825,43684,44554,47824,43024,40411,42137,42594,43751,42426,43184,40834,38631,42711,42250,45465,45332,43758,43819,43640,45889,47941,47949,45430,44430,45245,45952,44372,46204,46180,45332,46260,45220,46556,47060,47708,47190,45219,46743,45209,46924,42833,42910,43550,39394,40283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,39944,39976,41492,42396,42677,44810,44038,45550,44979,45923,45159,45427,44925,43921,42766,42649,43609,43560,44317,43088,36997,33149,24061,18308,18581,16901,17755,17416,16756,15490,15270,15828,15218,17147,17516,17769,16080,20637,19086,15510,18541,20230,27132,29255,28099,29252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,36355,34654,37543,38145,36642,36230,38163,38996,37884,40634,38844,35506,32037,31925,33876,34864,37347,35984,37019,36054,36149,33782,36463,38589,40563,40679,41061,43494,45215,46851,41879,42421,41766,44448,44745,43291,43956,44743,44596,43720,45963,44925,43574,43765,43048,43109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, Taiwan Province of",35844,36113,40701,45350,44359,48093,56941,61404,69855,73965,81419,74782,73747,78759,80718,80195,92857,98097,114340,123978,125979,135015,143075,153816,162463,171333,181365,196577,205072,213293,231902,236388,244537,254652,264057,271290,279710,282292,270256,256235,273033,272157,274256,277397,280987,279174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,35382,37421,38120,34397,28294,24422,25119,25002,28746,33369,31644,30245,32631,35125,35801,40511,43621,46825,56351,65729,32046,11489,26595,33602,39855,39481,38786,40810,45688,49419,53903,57064,59755,62392,65497,74138,76763,76636,80652,86955,86836,90310,92098,91235,91818,95013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,33770,23312,17964,16696,11847,15223,18305,19922,21473,23607,27844,24355,27306,26959,28532,27185,31365,29919,32791,33850,35891,35467,36266,38563,44265,47556,50525,47173,47053,45715,48476,48395,49934,53538,53773,54920,54711,52373,53735,61075,63877,41654,53183,52400,50067,52153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,33006,33283,34589,35249,38090,35619,37820,38818,40179,40388,41220,41851,42433,44497,45334,46929,47225,48948,49793,51364,52613,54198,56057,59107,58637,61514,60669,65704,67353,58899,61356,60998,58627,58151,58336,60569,59420,61108,61642,65034,64377,71659,69906,72600,77044,80967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,31979,32011,34442,37375,40267,44721,46731,48985,51368,53784,56914,58760,60112,62000,63660,64784,67432,69872,70909,71221,53171,51944,41788,36699,32744,31911,26743,25410,25393,26279,27852,26499,26273,28751,28475,30258,30683,27880,30713,25699,24534,27785,29291,30320,31706,32727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,30066,30435,35934,40646,45356,47262,50827,68457,80171,87254,87435,92569,93541,92706,94651,102710,113528,116478,126901,132762,159804,172654,180663,197841,210631,235213,248774,272690,275516,292166,294326,315386,322623,352328,358055,360664,383593,398802,396354,411644,423416,433103,443625,452744,483633,502961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,29082,30112,36912,39504,39151,40916,45704,47937,50501,53573,53676,53186,54262,57732,59137,62533,62138,67339,71830,76496,78118,78109,80244,79784,81362,84468,84314,85339,88750,88999,96133,98246,98252,102004,101721,103910,102575,106202,102121,96235,89188,86109,83454,74927,71095,68292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,27906,30060,31047,30981,29212,26518,26930,25519,25975,27474,27422,25284,21631,22121,23308,22458,22791,23031,27793,33562,33294,31570,32670,34650,37796,41734,48094,55242,55790,58914,54534,52220,52304,54134,58786,59993,61386,69783,72827,69135,73590,80151,78538,83115,81492,81110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,26036,38184,49426,59440,74968,57583,67781,60476,63607,89977,81862,67938,65389,65586,65514,68300,66650,63351,71693,73226,68925,74968,82579,79897,73893,78353,91085,91050,81266,81516,90823,96408,87964,93078,89120,92052,81550,75553,78074,72174,80468,87683,81596,80467,81768,86896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,25875,25605,27135,28778,30233,32296,32850,33231,34270,35392,36477,36962,36681,36255,36084,35805,35563,36070,35603,34431,34493,26477,20789,16642,10712,8417,6666,5847,5232,4840,5141,3732,3249,3517,3853,4748,5225,6125,5394,6129,5647,6951,7006,7068,7017,7184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,25386,25648,26651,30612,29170,32182,32349,35885,37314,40143,36783,34770,35160,37272,32306,30967,29056,35779,37761,39569,41981,41492,44948,48822,52889,63376,69214,77409,76739,74191,74792,73236,74891,76904,78905,81299,73399,77285,79126,79908,85914,86841,87559,97034,103666,113035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,24569,24324,26536,24639,28434,30722,35583,36819,37519,40631,44640,50522,54515,60762,66984,70296,73472,79888,82039,87413,90270,91663,94275,95220,91858,97130,104827,111083,116277,122318,120985,133700,137019,140977,153423,171802,180715,192951,198847,204072,210109,221507,228318,219686,222551,226985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,24548,24669,25215,27613,29258,30771,32704,34577,37451,39886,39706,46923,49164,53961,56020,59017,61681,59101,62055,62166,65989,55202,50909,44700,41172,46552,54457,59343,59286,42132,50532,54318,57860,61614,65831,60674,63194,61505,61222,57055,58261,62862,61931,62856,59974,63374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
